0.001833,0.964108,0.003666
0.001638,0.967934,0.003277
0.001516,0.970335,0.003032
0.001464,0.971361,0.002928
0.001496,0.970793,0.002991
0.001378,0.973054,0.002757
0.001338,0.973855,0.002676
0.001298,0.974641,0.002596
0.001263,0.975337,0.002526
0.001346,0.973770,0.002692
0.001197,0.976651,0.002394
0.001160,0.977385,0.002319
0.001132,0.977934,0.002263
0.001110,0.978371,0.002219
0.001186,0.976959,0.002371
0.001074,0.979078,0.002147
0.001044,0.979668,0.002087
0.001012,0.980282,0.002024
0.000983,0.980851,0.001966
0.001011,0.980375,0.002022
0.000935,0.981802,0.001869
0.000912,0.982256,0.001823
0.000887,0.982742,0.001773
0.000858,0.983301,0.001716
0.000889,0.982761,0.001778
0.000818,0.984087,0.001636
0.000797,0.984495,0.001594
0.000777,0.984875,0.001555
0.000769,0.985030,0.001538
0.000793,0.984634,0.001586
0.000730,0.985791,0.001460
0.000718,0.986032,0.001436
0.000701,0.986365,0.001402
0.000696,0.986469,0.001392
0.000690,0.986657,0.001379
0.000667,0.987038,0.001333
0.000663,0.987113,0.001326
0.000648,0.987417,0.001295
0.000644,0.987470,0.001288
0.000613,0.988132,0.001227
0.000636,0.987633,0.001273
0.000628,0.987794,0.001256
0.000627,0.987824,0.001253
0.000636,0.987621,0.001273
0.000571,0.988953,0.001143
0.000645,0.987447,0.001291
0.000696,0.986469,0.001391
0.000570,0.988935,0.001139
0.000556,0.989191,0.001113
0.000532,0.989708,0.001065
