epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,602.249,1.39241,2.81904,0.88636,0.00922,0.18722,0.03199,0.02044,1.19347,3.70704,0.83241,0.000408497,0.000408497,0.000408497
2,1207.78,1.19057,1.3085,0.87174,0.92967,0.13348,0.43699,0.27722,1.17461,2.25385,0.84666,0.000816994,0.000816994,0.000816994
3,1846.2,1.15483,1.08603,0.86164,0.68681,0.48767,0.53561,0.32222,1.1237,1.18186,0.84029,0.00121724,0.00121724,0.00121724
4,590.873,1.38559,1.51573,1.48151,0.48113,0.42813,0.33773,0.18817,1.28858,2.69241,0.92266,0.00121287,0.00121287,0.00121287
5,671.799,1.66647,1.73573,12.8238,0.02673,0.00366,0.01365,0.0061,4.75813,2955.27,31.0461,0.0012005,0.0012005,0.0012005
6,1338.63,1.33242,1.17193,1.56015,0.31194,0.19884,0.14048,0.08114,1.49882,4.34308,1.29683,0.00118812,0.00118812,0.00118812
7,1988.78,1.24757,1.02871,3.27347,0.38156,0.13268,0.12403,0.07452,1.84506,6.64461,7.89099,0.00117575,0.00117575,0.00117575
8,2611.01,1.26727,0.97612,1.38496,0.69876,0.48381,0.53002,0.31451,1.22112,0.98935,0.88279,0.00116337,0.00116337,0.00116337
9,3227.69,1.14578,0.89335,0.96338,0.75033,0.53571,0.59033,0.36498,1.0793,0.82151,0.85751,0.001151,0.001151,0.001151
10,3813.34,1.0854,0.81228,0.86752,0.76851,0.5555,0.62624,0.40649,1.00423,0.72364,0.8435,0.00113863,0.00113863,0.00113863
11,4392.19,1.08032,0.77682,0.87224,0.78277,0.56636,0.64286,0.41204,1.00874,0.69432,0.84251,0.00112625,0.00112625,0.00112625
12,4962.7,1.06879,0.73893,0.87843,0.82737,0.5862,0.66999,0.428,0.9737,0.66123,0.83927,0.00111388,0.00111388,0.00111388
13,5532.09,1.03122,0.71911,1.04131,0.81288,0.56879,0.6535,0.42295,0.99705,0.6799,0.84223,0.0011015,0.0011015,0.0011015
14,6100.21,1.05406,0.70093,0.85332,0.83508,0.56955,0.66392,0.42376,0.98663,0.63485,0.836,0.00108913,0.00108913,0.00108913
15,597.581,1.51479,1.18705,3.12594,0.69408,0.44435,0.50692,0.28306,nan,nan,nan,0.00107675,0.00107675,0.00107675
13,596.364,3.62944,8.54713,34.0139,0.24504,0.11227,0.07282,0.01999,nan,nan,nan,0.0011015,0.0011015,0.0011015
14,1196.17,2.33441,1.79369,10.5445,0.41357,0.30866,0.28465,0.12528,nan,nan,nan,0.00108913,0.00108913,0.00108913
15,1769.57,1.88275,1.30198,2.45192,0.57368,0.42788,0.43627,0.2062,nan,nan,nan,0.00107675,0.00107675,0.00107675
