0.037906,0.280193,0.075812
0.037743,0.282648,0.075485
0.038455,0.269796,0.076909
0.037444,0.290065,0.074887
0.035666,0.322428,0.071331
0.037245,0.291937,0.074489
0.040100,0.236156,0.080201
0.036389,0.308527,0.072778
0.035857,0.318892,0.071715
0.035174,0.331961,0.070348
0.036471,0.308093,0.072942
0.036509,0.305752,0.073017
0.038897,0.260880,0.077795
0.036832,0.300663,0.073665
0.034983,0.335520,0.069966
0.037512,0.285548,0.075023
0.037580,0.287165,0.075159
0.037579,0.284680,0.075157
0.035510,0.325394,0.071021
0.034944,0.336802,0.069887
0.038682,0.262975,0.077364
0.039713,0.243259,0.079425
0.036645,0.304742,0.073290
0.036098,0.313933,0.072196
0.034496,0.344696,0.068991
0.036695,0.302856,0.073390
0.035859,0.318380,0.071718
0.036874,0.297694,0.073749
0.035665,0.321748,0.071330
0.034434,0.345941,0.068868
0.037759,0.282856,0.075518
0.034874,0.337506,0.069748
0.035172,0.332187,0.070343
0.035136,0.332956,0.070271
0.034299,0.348791,0.068599
0.035355,0.327845,0.070711
0.034956,0.335230,0.069913
0.035480,0.326106,0.070960
0.036052,0.315966,0.072104
0.034211,0.351428,0.068421
0.034762,0.339458,0.069524
0.035059,0.333343,0.070118
0.035259,0.330050,0.070519
0.034475,0.344942,0.068950
0.034040,0.353760,0.068079
0.034632,0.341158,0.069264
0.035887,0.316592,0.071773
0.035618,0.321450,0.071236
0.034491,0.345086,0.068982
0.033775,0.359941,0.067550
