0.018789,0.64545,0.037578
0.017274,0.673342,0.034549
0.016149,0.694127,0.032297
0.015316,0.709768,0.030633
0.015082,0.715049,0.030164
0.014898,0.717906,0.029796
0.014591,0.723955,0.029182
0.013827,0.738514,0.027654
0.014769,0.720719,0.029539
0.015045,0.715797,0.030091
0.014661,0.722486,0.029322
0.013648,0.741486,0.027296
0.013399,0.746509,0.026798
0.013963,0.735238,0.027926
0.014757,0.720538,0.029514
0.014217,0.730463,0.028434
0.01351,0.743695,0.027019
0.013476,0.744742,0.026951
0.013861,0.737983,0.027722
0.013871,0.736996,0.027742
0.013691,0.74023,0.027383
0.013562,0.743111,0.027125
0.013205,0.750175,0.026409
0.013192,0.750015,0.026383
0.01324,0.749676,0.026481
0.01296,0.755101,0.02592
0.013339,0.747414,0.026678
0.013657,0.740946,0.027313
0.013942,0.736123,0.027883
0.01312,0.75105,0.026241
0.013274,0.748821,0.026547
0.013295,0.748474,0.02659
0.013676,0.740807,0.027351
0.012998,0.753824,0.025997
0.013213,0.749363,0.026426
0.01314,0.751206,0.02628
0.013197,0.749749,0.026394
0.01324,0.749282,0.026481
0.013183,0.750016,0.026366
0.013259,0.74852,0.026517
0.012898,0.755063,0.025796
0.013238,0.748966,0.026476
0.012896,0.755445,0.025791
0.012978,0.754087,0.025956
0.013017,0.754086,0.026035
0.012956,0.75405,0.025913
0.013257,0.748319,0.026513
0.012791,0.757766,0.025583
0.012863,0.755597,0.025727
0.013106,0.751454,0.026213
