-2.490906,6.609965
-3.977479,8.083270
-5.463510,9.557123
-6.949025,11.031495
-8.434231,12.506178
-9.919345,13.980953
-11.404584,15.455603
-12.890164,16.929909
-14.376299,18.403655
-15.863171,19.876658
-17.350714,21.348984
-18.838758,22.820803
-20.327132,24.292289
-21.815665,25.763613
-23.304188,27.234948
-24.792528,28.706469
-26.280549,30.178312
-27.768252,31.650475
-29.255676,33.122921
-30.742855,34.595614
-32.229827,36.068516
-33.716628,37.541591
-35.203294,39.014802
-36.689862,40.488112
-38.176369,41.961485
-39.662849,43.434882
-41.149341,44.908269
-42.635881,46.381608
-44.122505,47.854861
-45.609246,49.327997
-47.096113,50.801005
-48.583105,52.273887
-50.070221,53.746644
-51.557460,55.219276
-53.044821,56.691787
-54.532301,58.164174
-56.019902,59.636442
-57.507620,61.108591
-58.995455,62.580621
-60.483406,64.052534
-61.971472,65.524331
-63.459651,66.996014
-64.947942,68.467584
-66.436338,69.939047
-67.925059,71.410173
-69.416079,72.878951
-70.914515,74.340171
-72.425237,75.788698
-73.952710,77.219544
-75.501351,78.627436
-77.075808,80.006377
-78.680925,81.349481
-80.321136,82.649462
-82.000338,83.898633
-83.721794,85.088854
-85.488022,86.211515
-87.300986,87.256954
-89.163141,88.211891
-91.074919,89.063138
-93.029165,89.811812
-95.020231,90.456010
-97.046205,90.979847
-99.103063,91.364552
-101.183162,91.591752
-103.274868,91.646766
-105.363285,91.517119
-107.430785,91.194331
-109.458772,90.679241
-111.428949,89.976597
-113.321139,89.086730
-115.109269,88.001338
-116.749662,86.707332
-118.199591,85.201659
-119.460083,83.527784
-120.552373,81.743027
-121.503330,79.879422
-122.343214,77.962217
-123.100251,76.010584
-123.804857,74.039415
-124.488334,72.060867
-125.181928,70.085987
-125.916434,68.126055
-126.723828,66.194921
-127.637821,64.311930
-128.688046,62.502752
-129.890683,60.791207
-131.246778,59.199108
-132.754331,57.749845
-134.408290,56.470912
-136.197978,55.389066
-138.091619,54.496880
-140.053167,53.767696
-142.061453,53.178810
-144.100708,52.707333
-146.159278,52.328086
-148.229517,52.017876
-150.306578,51.756217
-152.386876,51.523665
-154.467728,51.301782
-156.546880,51.066583
-158.620650,50.785858
-160.684662,50.439419
-162.735813,50.023550
-164.771663,49.538304
-166.789760,48.983841
-168.787602,48.360335
-170.762642,47.667986
-172.712274,46.907030
-174.633858,46.077804
-176.524704,45.180705
-178.382042,44.216156
-180.203012,43.184602
-181.984625,42.086476
-183.723750,40.922240
-185.417129,39.692423
-187.061367,38.397647
-188.652921,37.038646
-190.188102,35.616280
-191.663055,34.131563
-193.073766,32.585681
-194.416055,30.980060
-195.685683,29.316456
-196.878626,27.597026
-197.993096,25.825657
-199.029687,24.007588
-199.990266,22.148231
-200.877115,20.252583
-201.692266,18.325010
-202.437132,16.369199
-203.112968,14.388453
-203.721099,12.385877
-204.262790,10.364297
-204.738972,8.326288
-205.150548,6.274276
-205.499372,4.210641
-205.788035,2.137730
-206.019186,0.057622
-206.195475,-2.027858
-206.319520,-4.117079
-206.394091,-6.208689
-206.421045,-8.301464
-206.400105,-10.394315
-206.329753,-12.486066
-206.208942,-14.575435
-206.040184,-16.661548
-205.829547,-18.743932
-205.583491,-20.822385
-205.306869,-22.896939
-205.002309,-24.967605
-204.671616,-27.034276
-204.316744,-29.096915
-203.939548,-31.155613
-203.541946,-33.210468
-203.125713,-35.261618
-202.691240,-37.309008
-202.237355,-39.352184
-201.762508,-41.390576
-201.266865,-43.423994
-200.753378,-45.452979
-200.226157,-47.478449
-199.688863,-49.501268
-199.143352,-51.521906
-198.590333,-53.540501
-198.030428,-55.557184
-197.464211,-57.572110
-196.892253,-59.585413
-196.315126,-61.597240
-195.733397,-63.607742
-195.147635,-65.617072
-194.558406,-67.625389
-193.966277,-69.632853
-193.371811,-71.639626
-192.775572,-73.645873
-192.178091,-75.651750
-191.579836,-77.657396
-190.981284,-79.662950
-190.383131,-81.668624
-189.786167,-83.674655
-189.190705,-85.681132
-188.596754,-87.688057
-188.004273,-89.695417
-187.413223,-91.703199
-186.823567,-93.711389
-186.235265,-95.719977
-185.648278,-97.728951
-185.062566,-99.738296
-184.478092,-101.748002
-183.894818,-103.758056
-183.312722,-105.768452
-182.731794,-107.779185
-182.152022,-109.790252
-181.573395,-111.801649
-180.995901,-113.813372
-180.419529,-115.825416
-179.844267,-117.837778
-179.270105,-119.850454
-178.697031,-121.863440
-178.125034,-123.876732
-177.554101,-125.890327
-176.984223,-127.904220
-176.415386,-129.918407
-175.847581,-131.932886
-175.280795,-133.947652
-174.715017,-135.962701
-174.150236,-137.978029
-173.586441,-139.993634
-173.023619,-142.009510
-172.461760,-144.025656
-171.900852,-146.042066
-171.340884,-148.058737
-170.781844,-150.075665
-170.223721,-152.092848
-169.666503,-154.110280
-169.110179,-156.127960
-168.554736,-158.145882
-168.000161,-160.164043
-167.446435,-162.182437
-166.893543,-164.201059
-166.341469,-166.219906
-165.790195,-168.238971
-165.239707,-170.258251
-164.689986,-172.277739
-164.141018,-174.297432
-163.592784,-176.317325
-163.045270,-178.337413
-162.498459,-180.357691
-161.952333,-182.378155
-161.406878,-184.398800
-160.862075,-186.419620
-160.317910,-188.440613
-159.774365,-190.461772
-159.231425,-192.483095
-158.689070,-194.504574
-158.147250,-196.526196
-157.605895,-198.547943
-157.064929,-200.569794
-156.524272,-202.591728
-155.983846,-204.613724
-155.443572,-206.635760
-154.903371,-208.657817
-154.363165,-210.679871
-153.822872,-212.701902
-153.282408,-214.723888
-152.741689,-216.745805
